id,name,gender,age,height,weight
1,John Smith 1,F,25,164,62
2,John Clark 2,M,36,177,49
3,Alex Brown 3,M,25,182,48
4,Ava Davis 4,F,25,178,80
5,Alex Johnson 5,F,28,167,64
6,Emma Wilson 6,M,20,174,57
7,Liam Wilson 7,F,19,196,103
8,Ava Brown 8,F,20,185,82
9,Mason Wilson 9,M,20,152,74
10,Sophia Brown 10,M,21,174,80
11,Olivia Wilson 11,M,29,172,71
12,Sophia Brown 12,M,35,196,76
13,Maria Moore 13,F,26,190,73
14,Liam Smith 14,M,19,201,85
15,Noah Miller 15,M,24,186,85
16,Emma Moore 16,F,38,179,63
17,Sophia Johnson 17,M,35,184,78
18,Mason Taylor 18,F,29,164,62
19,Ava Moore 19,M,19,205,59
20,Maria Johnson 20,F,37,154,94
21,Noah Lee 21,F,34,166,46
22,John Clark 22,F,38,171,59
23,Sophia Taylor 23,M,32,150,78
24,Ava Johnson 24,M,38,169,109
25,Mason Davis 25,M,29,198,65
26,Ava Clark 26,M,37,170,107
27,Alex Brown 27,F,27,165,52
28,Emma Lee 28,M,20,196,107
29,John Clark 29,M,22,192,105
30,Ava Johnson 30,F,34,205,99
31,Emma Clark 31,M,27,175,92
32,Olivia Clark 32,F,21,165,73
33,John Wilson 33,M,36,185,74
34,Mason Davis 34,M,20,195,52
35,Emma Brown 35,M,28,154,110
36,Emma Miller 36,F,24,184,61
37,Mason Lee 37,F,25,200,105
38,Noah Davis 38,M,21,192,100
39,Liam Taylor 39,F,32,205,51
40,John Smith 40,F,28,201,58
41,Emma Davis 41,M,35,178,62
42,Noah Johnson 42,F,32,165,54
43,Olivia Clark 43,M,19,191,46
44,John Davis 44,M,31,181,106
45,Emma Taylor 45,M,23,174,45
46,Noah Miller 46,F,27,177,107
47,Maria Davis 47,F,24,153,52
48,Liam Smith 48,M,36,180,109
49,Ava Johnson 49,M,34,155,68
50,John Lee 50,M,25,175,60
51,Mason Davis 51,M,37,155,98
52,Mason Lee 52,F,26,163,85
53,Emma Miller 53,F,22,192,83
54,Olivia Wilson 54,M,18,179,57
55,John Clark 55,M,34,166,61
56,Liam Brown 56,M,29,168,65
57,Olivia Clark 57,F,37,201,46
58,Ava Miller 58,M,22,166,59
59,John Clark 59,M,26,168,71
60,Liam Davis 60,F,34,181,77
61,Alex Brown 61,F,26,152,45
62,Liam Johnson 62,F,23,197,101
63,Ava Taylor 63,M,21,154,64
64,Ava Smith 64,F,36,185,63
65,Noah Johnson 65,M,27,173,50
66,Liam Davis 66,M,21,172,97
67,Mason Johnson 67,M,23,201,67
68,Noah Smith 68,M,28,200,97
69,Emma Miller 69,M,21,174,49
70,Olivia Davis 70,M,32,172,84
71,Emma Davis 71,M,24,175,87
72,Sophia Brown 72,F,29,191,110
73,Noah Clark 73,F,18,157,78
74,Maria Lee 74,F,19,156,100
75,Liam Wilson 75,F,37,182,59
76,Noah Lee 76,M,26,152,100
77,Alex Clark 77,M,29,177,53
78,Liam Lee 78,F,21,196,83
79,Ava Miller 79,F,28,175,82
80,Ava Johnson 80,M,31,192,93
81,Maria Lee 81,F,30,185,45
82,Sophia Miller 82,M,31,200,86
83,Olivia Moore 83,F,24,182,105
84,Maria Brown 84,F,34,192,87
85,John Davis 85,F,25,201,70
86,Maria Smith 86,M,25,180,54
87,Olivia Taylor 87,M,30,181,96
88,Emma Johnson 88,M,21,199,99
89,Emma Johnson 89,F,19,185,76
90,John Moore 90,M,32,192,85
91,Olivia Lee 91,F,35,178,65
92,Olivia Moore 92,F,25,203,80
93,Ava Moore 93,M,26,178,54
94,Sophia Davis 94,F,28,170,55
95,Maria Johnson 95,M,30,194,64
96,Emma Brown 96,F,31,171,104
97,Noah Smith 97,M,31,174,47
98,Mason Taylor 98,F,18,172,83
99,Noah Taylor 99,M,33,164,79
100,Noah Moore 100,M,30,171,96
101,Maria Moore 101,M,37,184,48
102,Noah Lee 102,M,20,191,99
103,Maria Moore 103,M,19,166,93
104,Liam Davis 104,F,28,171,93
105,Sophia Taylor 105,F,20,180,47
106,Ava Smith 106,F,25,191,53
107,Alex Smith 107,M,24,203,47
108,Mason Johnson 108,M,22,180,59
109,Mason Davis 109,F,26,199,92
110,Maria Lee 110,M,23,169,58
111,Mason Smith 111,F,36,193,93
112,Noah Davis 112,M,36,194,76
113,John Miller 113,M,36,200,50
114,Liam Clark 114,F,29,154,109
115,Liam Smith 115,F,33,156,100
116,Liam Moore 116,M,31,161,79
117,Mason Clark 117,F,32,177,79
118,Liam Davis 118,M,26,178,76
119,Olivia Lee 119,F,28,151,108
120,Liam Johnson 120,F,24,172,78
121,Liam Miller 121,F,35,150,69
122,John Davis 122,F,33,185,75
123,Olivia Moore 123,F,18,155,82
124,Emma Taylor 124,M,27,192,92
125,Olivia Clark 125,F,31,197,87
126,Liam Moore 126,F,27,166,74
127,John Davis 127,F,21,197,68
128,Emma Davis 128,F,26,196,81
129,John Davis 129,F,25,173,67
130,Sophia Smith 130,M,26,152,51
131,Ava Miller 131,M,38,205,107
132,John Smith 132,F,33,180,101
133,Liam Johnson 133,M,26,205,106
134,John Brown 134,F,33,154,51
135,Maria Johnson 135,F,20,165,60
136,Ava Taylor 136,M,34,174,102
137,Olivia Miller 137,F,27,186,52
138,Mason Brown 138,M,38,163,78
139,John Johnson 139,M,23,185,54
140,Maria Smith 140,F,32,194,105
141,Sophia Smith 141,M,27,195,81
142,Olivia Brown 142,M,26,200,70
143,Noah Brown 143,M,38,159,79
